Benutzer,Spiel,SpielzeitInStunden,Genre,Tags
1500 Gamer,Garry's Mod,53.9,"Casual, Indie, Simulation","{'Sandbox': 18409, 'Moddable': 14275, 'Multiplayer': 14263, 'Physics': 14255, 'Building': 14236, 'Casual': 13070, 'Funny': 12781, 'Singleplayer': 12759, 'First-Person': 12755, 'Online Co-Op': 12734, 'Simulation': 12725, 'FPS': 12724, 'Co-op': 12724, 'Shooter': 12714, 'Comedy': 12708, 'Action': 12708, 'Indie': 12670, 'PvP': 8908, 'Realistic': 8887, 'Exploration': 8864}"
1500 Gamer,Dying Light 2: Reloaded Edition,52.1,"Action, Adventure, RPG","{'Open World': 1062, 'Co-op': 1052, 'Zombies': 1034, 'Parkour': 993, 'Multiplayer': 916, 'Horror': 833, 'Exploration': 827, 'Combat': 825, 'Gore': 813, 'Post-apocalyptic': 804, 'First-Person': 801, 'Survival': 797, 'Action RPG': 785, 'Singleplayer': 778, 'Adventure': 772, 'Action': 772, 'Action-Adventure': 769, 'Violent': 749, 'Choices Matter': 492, 'Multiple Endings': 492}"
1500 Gamer,Among Us,47.6,Casual,"{'Multiplayer': 1833, 'Online Co-Op': 1274, 'Social Deduction': 1258, 'Space': 1211, 'Survival': 999, '2D': 968, 'Funny': 933, 'Psychological': 837, 'Co-op': 816, 'Party Game': 802, 'Cartoony': 736, 'Local Multiplayer': 713, 'Casual': 678, 'Action': 654, 'Sci-fi': 651, 'PvP': 650, 'Aliens': 646, 'Minigames': 646, 'Colorful': 644, 'Top-Down': 644}"
1500 Gamer,Tom Clancy's Rainbow Six Siege,40.5,Action,"{'FPS': 9697, 'PvP': 9080, 'e-sports': 9027, 'Tactical': 8957, 'Multiplayer': 8956, 'Shooter': 8950, 'Competitive': 8904, 'Online Co-Op': 8894, 'Action': 8879, 'Hero Shooter': 8839, 'Team-Based': 5579, 'Military': 4922, 'Strategy': 4861, 'First-Person': 4846, 'War': 4840, 'Realistic': 4832, 'Co-op': 4829, 'Destruction': 4822, 'Difficult': 2065, '3D': 1864}"
1500 Gamer,New World,32.2,"Action, Adventure, Massively Multiplayer, RPG","{'Open World': 777, 'Massively Multiplayer': 763, 'MMORPG': 725, 'RPG': 609, 'Adventure': 542, 'Action': 469, 'PvP': 451, 'PvE': 439, 'Multiplayer': 374, 'Fantasy': 313, 'Character Customization': 308, 'Walking Simulator': 302, 'Crafting': 272, 'Third Person': 247, 'Open World Survival Craft': 204, 'Co-op': 203, 'Sandbox': 165, 'Violent': 150, 'Sexual Content': 120, 'Singleplayer': 86}"
1500 Gamer,Dying Light,29.6,"Action, RPG","{'Zombies': 5904, 'Survival Horror': 5662, 'Horror': 5512, 'Online Co-Op': 4886, 'Open World': 4691, 'Parkour': 4618, 'First-Person': 4336, 'Survival': 4247, 'Open World Survival Craft': 4217, 'Gore': 4197, 'FPS': 4184, 'Action': 4171, 'PvE': 4043, 'Stealth': 4001, 'PvP': 3998, 'Post-apocalyptic': 3849, 'Story Rich': 3823, 'Multiplayer': 3699, 'Hack and Slash': 3594, 'Action RPG': 3592}"
1500 Gamer,ARK: Survival Evolved,29.3,"Action, Adventure, Indie, Massively Multiplayer, RPG","{'Open World Survival Craft': 12753, 'Survival': 12056, 'Multiplayer': 9466, 'Open World': 9387, 'Dinosaurs': 8967, 'Crafting': 7710, 'Building': 7381, 'Adventure': 6510, 'Base-Building': 5881, 'Co-op': 5425, 'Action': 4840, 'First-Person': 4424, 'Sandbox': 4401, 'Massively Multiplayer': 4222, 'Singleplayer': 3986, 'Early Access': 3466, 'RPG': 3213, 'Dragons': 3197, 'Sci-fi': 2601, 'Indie': 2116}"
1500 Gamer,NARUTO TO BORUTO: SHINOBI STRIKER,27.1,Action,"{'Anime': 315, 'Action': 239, 'Character Customization': 234, 'Multiplayer': 234, 'Fighting': 194, 'Ninja': 173, 'Co-op': 144, 'PvP': 126, 'Open World': 122, 'RPG': 85, 'Massively Multiplayer': 83, 'Third Person': 82, 'Controller': 69, 'Adventure': 66, 'Team-Based': 61, 'Singleplayer': 57, 'Online Co-Op': 52, 'MMORPG': 41, 'Strategy': 35, 'MOBA': 30}"
1500 Gamer,Valheim,26.8,"Action, Adventure, Indie, RPG, Early Access","{'Open World Survival Craft': 2072, 'Survival': 1969, 'Online Co-Op': 1895, 'Open World': 1834, 'Multiplayer': 1787, 'Building': 1655, 'Crafting': 1535, 'Exploration': 1411, 'Base-Building': 1404, 'Co-op': 1268, 'Difficult': 1173, 'Adventure': 1125, 'Mythology': 1123, 'Early Access': 1119, 'Action': 1117, 'PvE': 1115, 'Singleplayer': 1112, 'Indie': 1108, 'Third Person': 1107, 'Sandbox': 1104}"
1500 Gamer,Sea of Thieves,25.1,"Action, Adventure","{'Multiplayer': 1164, 'Adventure': 1097, 'Open World': 1091, 'Pirates': 949, 'Co-op': 878, 'Online Co-Op': 803, 'Action': 746, 'PvP': 727, 'Sailing': 717, 'First-Person': 547, 'Exploration': 508, 'Naval': 452, 'Funny': 386, 'PvE': 381, 'Massively Multiplayer': 352, 'FPS': 324, 'Atmospheric': 323, 'Swordplay': 304, 'Great Soundtrack': 303, 'Singleplayer': 282}"
1500 Gamer,Raft,23.6,"Adventure, Indie, Simulation","{'Survival': 4172, 'Multiplayer': 3687, 'Open World Survival Craft': 3637, 'Co-op': 3057, 'Crafting': 2373, 'Open World': 2089, 'Building': 1988, 'Base-Building': 1767, 'Online Co-Op': 1666, 'Adventure': 1459, 'Sandbox': 1322, 'First-Person': 883, 'Singleplayer': 758, 'Underwater': 664, 'Early Access': 654, 'Simulation': 613, 'Action': 542, 'Indie': 494, 'Strategy': 438, 'Massively Multiplayer': 315}"
1500 Gamer,Hogwarts Legacy,23.4,"Action, Adventure, RPG","{'Magic': 4207, 'Fantasy': 3554, 'Open World': 3493, 'Singleplayer': 3175, 'Adventure': 3100, 'RPG': 2877, 'Character Customization': 2566, 'Exploration': 2194, 'Story Rich': 1917, 'Third Person': 1835, 'Action-Adventure': 1744, 'Atmospheric': 1601, 'Action RPG': 1567, 'Action': 1384, 'Combat': 1373, 'Choices Matter': 1056, 'Puzzle': 980, 'Great Soundtrack': 880, 'Dark': 844, 'Family Friendly': 576}"
1500 Gamer,Rust,15.6,"Action, Adventure, Indie, Massively Multiplayer, RPG","{'Survival': 17905, 'Crafting': 11359, 'Multiplayer': 11287, 'Open World': 10728, 'Open World Survival Craft': 8392, 'Building': 7995, 'PvP': 7284, 'Sandbox': 7006, 'Adventure': 5652, 'First-Person': 5081, 'Action': 4670, 'Nudity': 4541, 'FPS': 4528, 'Shooter': 3658, 'Co-op': 3628, 'Online Co-Op': 3583, 'Indie': 3008, 'Early Access': 2864, 'Post-apocalyptic': 2810, 'Simulation': 2471}"
1500 Gamer,THE FINALS,15.4,RPG,"{'Open World': 12353, 'RPG': 10509, 'Story Rich': 9703, 'Atmospheric': 6728, 'Mature': 6588, 'Fantasy': 6385, 'Adventure': 6264, 'Singleplayer': 6047, 'Nudity': 5749, 'Choices Matter': 5611, 'Great Soundtrack': 4625, 'Third Person': 4572, 'Medieval': 4412, 'Action': 4295, 'Multiple Endings': 3851, 'Action RPG': 3776, 'Magic': 3609, 'Dark Fantasy': 3598, 'Dark': 2148, 'Sandbox': 1275}"
1500 Gamer,Worms W.M.D,9.4,"Action, Strategy","{'Strategy': 238, 'Multiplayer': 216, 'Action': 174, 'Turn-Based Strategy': 148, 'Funny': 137, 'Local Multiplayer': 125, '2D': 113, 'Turn-Based': 99, 'Co-op': 61, 'Shooter': 60, 'Comedy': 56, 'Singleplayer': 56, 'Local Co-Op': 53, 'Classic': 52, 'Memes': 44, 'Casual': 43, 'Platformer': 35, 'War': 23, 'Adventure': 19, 'Gore': 16}"
1500 Gamer,Apex Legends,9.0,"Action, Adventure, Free to Play","{'Free to Play': 1979, 'Battle Royale': 1367, 'Multiplayer': 1349, 'FPS': 1289, 'Shooter': 1251, 'First-Person': 1048, 'PvP': 871, 'Action': 776, 'Hero Shooter': 713, 'Team-Based': 708, 'Tactical': 535, 'Sci-fi': 486, 'Survival': 476, 'Loot': 471, 'Character Customization': 462, 'Funny': 436, 'Co-op': 429, 'Lore-Rich': 358, 'Cyberpunk': 346, 'Cinematic': 283}"
1500 Gamer,GRID 2,7.9,Casual,"{'Unforgiving': 252, 'Casual': 251, 'Score Attack': 246, 'Bullet Hell': 243, 'Arcade': 237, 'Family Friendly': 221, 'Singleplayer': 214, 'Hidden Object': 204, '2D': 198, 'Top-Down': 187, 'Sci-fi': 177, 'Flight': 166, 'Space': 153, 'Linear': 151, 'Procedural Generation': 136, 'Tutorial': 120, 'Survival': 102, 'Asynchronous Multiplayer': 84, 'Adventure': 65, 'Multiplayer': 45}"
1500 Gamer,PUBG: BATTLEGROUNDS,5.9,"Action, Adventure, Massively Multiplayer, Free to Play","{'Survival': 14626, 'Shooter': 12485, 'Battle Royale': 10698, 'Multiplayer': 10655, 'FPS': 8248, 'PvP': 7599, 'Third-Person Shooter': 7206, 'Action': 5926, 'Online Co-Op': 5268, 'Tactical': 4973, 'Co-op': 4246, 'First-Person': 4004, 'Strategy': 3049, 'Early Access': 2802, 'Competitive': 2356, 'Third Person': 2305, 'Team-Based': 2019, 'Difficult': 1696, 'Simulation': 1342, 'Stealth': 1254}"
1500 Gamer,Left 4 Dead 2,5.6,Action,"{'Zombies': 21032, 'Co-op': 11261, 'FPS': 9944, 'Multiplayer': 9286, 'Shooter': 6988, 'Online Co-Op': 6695, 'Action': 6612, 'Survival': 5645, 'Horror': 5385, 'First-Person': 4502, 'Gore': 4211, 'Team-Based': 3555, 'Moddable': 3019, 'Survival Horror': 2961, 'Post-apocalyptic': 2863, 'Singleplayer': 2404, 'Adventure': 2164, 'Local Co-Op': 2108, 'Replay Value': 2062, 'Tactical': 1980}"
1500 Gamer,Tabletop Simulator,5.4,"Casual, Indie, RPG, Simulation, Strategy","{'Tabletop': 995, 'Board Game': 856, 'Simulation': 613, 'Multiplayer': 595, 'Sandbox': 478, 'Card Game': 424, 'VR': 373, 'Trading Card Game': 368, 'Physics': 353, 'Moddable': 348, 'Casual': 338, '3D': 337, 'Strategy': 335, 'Wargame': 333, 'Online Co-Op': 332, 'Co-op': 318, 'RPG': 309, 'Funny': 309, 'First-Person': 298, 'Indie': 294}"
1500 Gamer,Wreckfest,3.4,"Action, Indie, Racing, Simulation, Sports","{'Racing': 954, 'Destruction': 681, 'Automobile Sim': 651, 'Simulation': 500, 'Multiplayer': 454, 'Driving': 453, 'Physics': 434, 'Action': 387, 'Indie': 237, 'Sports': 226, 'Singleplayer': 192, 'Realistic': 182, 'Funny': 148, 'Arcade': 133, 'Early Access': 132, 'Sandbox': 103, 'Third Person': 67, 'Co-op': 61, 'Open World': 60, 'Atmospheric': 48}"
1500 Gamer,Fall Guys,3.4,"Action, Casual, Indie, Massively Multiplayer, Sports","{'Multiplayer': 1597, 'Party Game': 1531, 'Family Friendly': 1527, 'Battle Royale': 1525, 'Massively Multiplayer': 1484, 'Platformer': 1314, 'Cute': 1310, 'Funny': 1305, 'PvP': 1285, '3D Platformer': 1262, 'Controller': 960, 'Casual': 948, 'Colorful': 945, 'Action': 930, 'Online Co-Op': 915, 'Co-op': 910, 'Comedy': 904, 'Physics': 893, 'Indie': 420, 'Difficult': 208}"
1500 Gamer,Minimalism,3.4,"Action, Adventure, Casual, Indie","{'Indie': 68, 'Casual': 33, 'Action': 30, 'Difficult': 26, 'Adventure': 25, 'Platformer': 22, 'Minimalist': 10}"
1500 Gamer,Wallpaper Engine,2.8,"Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities","{'Mature': 3392, 'Utilities': 2349, 'Software': 1876, 'Anime': 1858, 'Design & Illustration': 1421, 'Animation & Modeling': 1150, 'NSFW': 855, 'First-Person': 773, 'Indie': 740, 'Memes': 707, 'Cute': 655, 'Action': 604, 'Singleplayer': 557, 'Funny': 548, 'Early Access': 465, 'Photo Editing': 397, 'Sandbox': 357, 'Horror': 272, 'Game Development': 258, 'Gaming': 219}"
1500 Gamer,LEGO® Star Wars™: The Complete Saga,2.3,Adventure,"{'LEGO': 411, 'Local Co-Op': 253, 'Adventure': 246, 'Co-op': 235, 'Family Friendly': 220, 'Multiplayer': 209, 'Comedy': 198, 'Singleplayer': 170, 'Action': 156, 'Funny': 153, 'Classic': 149, 'Sci-fi': 149, 'Local Multiplayer': 118, 'Great Soundtrack': 110, 'Space': 107, 'Psychological Horror': 105, 'Controller': 105, 'Casual': 85, 'Puzzle': 84, 'Open World': 63}"
1500 Gamer,NARUTO: Ultimate Ninja STORM,2.2,"Action, Adventure","{'Action': 61, 'Adventure': 52, 'Anime': 47, 'Fighting': 39, 'Open World': 31, 'Multiplayer': 21, 'Singleplayer': 20, 'Ninja': 18, 'Story Rich': 14, '3D Fighter': 11}"
1500 Gamer,RaceRoom Racing Experience,2.2,"Racing, Simulation, Sports, Free to Play","{'Free to Play': 1971, 'Racing': 1940, 'Automobile Sim': 1685, 'Simulation': 1666, 'Realistic': 1649, 'Multiplayer': 939, 'Driving': 615, 'Competitive': 574, 'Physics': 563, 'Difficult': 453, 'PvP': 451, 'Sports': 450, 'Controller': 334, 'VR': 329, 'Singleplayer': 308, 'First-Person': 288, 'Massively Multiplayer': 278, 'e-sports': 266, 'Co-op': 243, 'FPS': 241}"
1500 Gamer,Ring of Elysium,2.1,"Action, Free to Play, Massively Multiplayer","{'Free to Play': 1689, 'Battle Royale': 1378, 'Shooter': 1071, 'Multiplayer': 1047, 'Survival': 857, 'FPS': 722, 'Action': 689, 'Massively Multiplayer': 665, 'Third-Person Shooter': 630, 'Early Access': 584, 'Singleplayer': 518, 'PvP': 505, 'Open World': 504, 'Co-op': 502, '3D': 493, 'Tactical': 492, 'Violent': 486, 'Gore': 479, 'MOBA': 470, 'First-Person': 377}"
1500 Gamer,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,1.77,"Action, Adventure","{'Anime': 1273, 'Fighting': 851, 'Action': 744, 'Ninja': 630, 'Multiplayer': 627, 'Adventure': 546, 'Story Rich': 438, 'Singleplayer': 343, 'Local Multiplayer': 332, 'Third Person': 272, 'Great Soundtrack': 257, 'Open World': 214, 'Fantasy': 204, 'Co-op': 194, 'Atmospheric': 191, 'Online Co-Op': 189, 'Local Co-Op': 157, ""Beat 'em up"": 150, 'Memes': 94, 'Heist': 66}"
1500 Gamer,Perfect Heist 2,1.2,"Action, Casual, Indie, Strategy","{'Action': 185, 'Shooter': 179, 'Stealth': 176, 'Strategy': 173, 'Multiplayer': 171, 'Heist': 163, 'Social Deduction': 157, '3D': 153, 'Detective': 151, 'Hero Shooter': 149, 'FPS': 145, 'Class-Based': 140, 'Level Editor': 137, 'First-Person': 125, 'Casual': 118, 'PvP': 112, 'Singleplayer': 110, 'Tactical': 103, 'Indie': 89, 'Funny': 83}"
1500 Gamer,PAYDAY 2,1.05,"Action, RPG","{'Co-op': 9794, 'Action': 7551, 'FPS': 7504, 'Heist': 7044, 'Multiplayer': 6266, 'Looter Shooter': 6233, 'Online Co-Op': 6144, 'Stealth': 6122, 'Crime': 5654, 'Shooter': 4812, 'Team-Based': 4324, 'First-Person': 4282, 'Great Soundtrack': 4113, 'Gun Customization': 3696, 'Tactical': 3389, 'PvE': 2760, 'Strategy': 2328, 'Singleplayer': 2168, 'Funny': 1630, 'Simulation': 1577}"
1500 Gamer,LEGO® Star Wars™: Die Skywalker Saga,0.7,"Action, Adventure","{'LEGO': 716, 'Adventure': 519, 'Co-op': 500, 'Multiplayer': 493, 'Open World': 490, 'Space': 441, 'Action': 413, 'Sci-fi': 389, 'Local Co-Op': 388, 'Singleplayer': 375, 'Funny': 372, 'Family Friendly': 313, 'Third Person': 305, 'Story Rich': 282, 'Epic': 257, 'Great Soundtrack': 250, 'Memes': 220, 'Beautiful': 216, 'Puzzle': 183, 'Nudity': 84}"
1500 Gamer,Destiny 2,0.62,"Action, Adventure, Free to Play","{'Free to Play': 3300, 'Open World': 2908, 'FPS': 2844, 'Looter Shooter': 2835, 'MMORPG': 2832, 'Co-op': 2825, 'Multiplayer': 2811, 'PvE': 2713, 'PvP': 2679, 'Shooter': 2553, 'Massively Multiplayer': 2438, 'Loot': 2428, 'First-Person': 2419, 'Sci-fi': 2399, 'Action': 2385, 'Adventure': 2319, 'Lore-Rich': 2316, 'Space': 2303, 'Competitive': 2184, 'Atmospheric': 2169}"
1500 Gamer,My dream setup,0.48,"Casual, Indie, Simulation","{'Design & Illustration': 214, 'Relaxing': 202, 'Building': 198, 'Simulation': 197, 'Casual': 176, 'Sandbox': 169, 'Indie': 156, 'Immersive Sim': 141, 'Cute': 137, 'Cozy': 132, 'Atmospheric': 126, 'Minimalist': 119, 'Stylized': 106, '3D': 102, 'Management': 91, 'Isometric': 73, 'Colorful': 59, 'Singleplayer': 55, 'Music': 35, 'Replay Value': 28}"
1500 Gamer,Counter-Strike: Source,0.42,Action,"{'Shooter': 5313, 'FPS': 3186, 'Action': 3172, 'Multiplayer': 2544, 'Team-Based': 1705, 'First-Person': 1508, 'Competitive': 1362, 'Tactical': 1353, 'PvP': 1038, 'e-sports': 978, 'Military': 775, 'War': 654, 'Strategy': 527, 'Moddable': 511, 'Singleplayer': 411, 'Difficult': 396, 'Atmospheric': 307, 'Survival': 285, 'Simulation': 247, 'Sandbox': 209}"
1500 Gamer,Driver Booster for Steam,0.17,Utilities,"{'Utilities': 43, 'Software': 22, 'Free to Play': 21}"
1500 Gamer,VRChat,0.08,"Adventure, Casual, Massively Multiplayer, Simulation, Sports, Free to Play, Early Access","{'VR': 1826, 'Free to Play': 1757, 'Multiplayer': 1250, 'Memes': 1219, 'Anime': 1217, 'Funny': 1129, 'Massively Multiplayer': 1026, 'First-Person': 760, 'Open World': 715, 'Early Access': 710, 'Simulation': 657, 'Casual': 612, 'Adventure': 491, 'MMORPG': 273, 'Comedy': 257, 'Sandbox': 225, 'Action': 150, 'Dating Sim': 116, 'Survival Horror': 100, 'Atmospheric': 77}"
1500 Gamer,Insurgency,0.07,"Action, Indie, Strategy","{'FPS': 6618, 'Realistic': 2239, 'Tactical': 1983, 'Multiplayer': 1950, 'Shooter': 1754, 'Action': 1637, 'Military': 1407, 'Team-Based': 1098, 'Co-op': 1033, 'First-Person': 966, 'War': 843, 'Strategy': 824, 'Online Co-Op': 817, 'Competitive': 649, 'Indie': 606, 'Simulation': 563, 'PvP': 562, 'Singleplayer': 485, 'Atmospheric': 462, 'Adventure': 220}"
1500 Gamer,ARK: Survival Of The Fittest,0.02,"Action, Adventure, Indie, Massively Multiplayer, RPG, Strategy","{'Free to Play': 1165, 'Survival': 1001, 'Dinosaurs': 838, 'Multiplayer': 695, 'Open World': 624, 'Action': 524, 'Adventure': 521, 'Massively Multiplayer': 496, 'PvP': 413, 'Dragons': 400, 'Early Access': 389, 'Crafting': 365, 'RPG': 326, 'First-Person': 318, 'Singleplayer': 307, 'Strategy': 293, 'Exploration': 281, 'FPS': 267, 'Sandbox': 265, 'Indie': 242}"
1500 Gamer,Infestation: Survivor Stories 2020,0.02,"Action, Free to Play, Indie, Massively Multiplayer, RPG","{'Zombies': 820, 'Survival': 612, 'Massively Multiplayer': 519, 'Action': 383, 'Open World': 380, 'PvP': 324, 'Multiplayer': 279, 'RPG': 222, 'Indie': 193, 'Simulation': 176, 'FPS': 175, 'Co-op': 134, 'Horror': 130, 'Post-apocalyptic': 126, 'Shooter': 117, 'PvE': 101, 'Third-Person Shooter': 83, 'Free to Play': 82, 'Third Person': 79, 'Casual': 60}"
5_45,Dota 2,3826.2,"Action, Strategy, Free to Play","{'Free to Play': 59586, 'MOBA': 19975, 'Multiplayer': 15167, 'Strategy': 14104, 'e-sports': 11639, 'Team-Based': 10830, 'Competitive': 8175, 'Action': 7843, 'Online Co-Op': 7368, 'PvP': 5952, 'Difficult': 5235, 'Co-op': 4231, 'RTS': 4044, 'RPG': 3723, 'Tower Defense': 3712, 'Fantasy': 3689, 'Character Customization': 2874, 'Replay Value': 2715, 'Action RPG': 2412, 'Simulation': 1941}"
5_45,Counter-Strike 2,1504.3,Action,"{'Action': 5473, 'FPS': 4898, 'Multiplayer': 3445, 'Shooter': 3395, 'Classic': 2822, 'Team-Based': 1896, 'First-Person': 1737, 'Competitive': 1632, 'Tactical': 1370, ""1990's"": 1231, 'e-sports': 1215, 'PvP': 907, 'Old School': 807, 'Military': 647, 'Strategy': 628, 'Survival': 312, 'Score Attack': 296, '1980s': 276, 'Assassin': 237, 'Nostalgia': 180}"
5_45,Grand Theft Auto V,101.2,"Action, Adventure","{'Open World': 32016, 'Action': 23189, 'Multiplayer': 21351, 'Crime': 19076, 'Automobile Sim': 18585, 'Third Person': 18421, 'First-Person': 18062, 'Mature': 14770, 'Shooter': 14686, 'Adventure': 13436, 'Singleplayer': 12263, 'Third-Person Shooter': 11808, 'Racing': 11408, 'Co-op': 10089, 'Sandbox': 9851, 'Atmospheric': 9817, 'Funny': 9239, 'Great Soundtrack': 8598, 'Comedy': 8463, 'Moddable': 6805}"
5_45,Sid Meier's Civilization V,56.7,Strategy,"{'Turn-Based Strategy': 4945, 'Strategy': 4348, 'Turn-Based': 2564, 'Multiplayer': 2391, 'Historical': 2180, '4X': 1711, 'Addictive': 1682, 'Singleplayer': 1598, 'Hex Grid': 1310, 'Grand Strategy': 1051, 'Replay Value': 839, 'Co-op': 773, 'Economy': 727, 'Tactical': 727, 'Diplomacy': 684, 'Moddable': 632, 'Simulation': 602, 'Classic': 469, 'Great Soundtrack': 453, 'Touch-Friendly': 303}"
5_45,PUBG: BATTLEGROUNDS,56.0,"Action, Adventure, Massively Multiplayer, Free to Play","{'Survival': 14626, 'Shooter': 12485, 'Battle Royale': 10698, 'Multiplayer': 10655, 'FPS': 8248, 'PvP': 7599, 'Third-Person Shooter': 7206, 'Action': 5926, 'Online Co-Op': 5268, 'Tactical': 4973, 'Co-op': 4246, 'First-Person': 4004, 'Strategy': 3049, 'Early Access': 2802, 'Competitive': 2356, 'Third Person': 2305, 'Team-Based': 2019, 'Difficult': 1696, 'Simulation': 1342, 'Stealth': 1254}"
5_45,Artifact Classic,48.1,Strategy,"{'Card Battler': 541, 'Deckbuilding': 465, 'Card Game': 423, 'Trading Card Game': 305, 'Strategy': 289, 'Multiplayer': 263, 'e-sports': 208, 'Tactical': 160, 'Competitive': 158, 'Difficult': 85, 'Turn-Based Strategy': 85, 'Fantasy': 69, 'Singleplayer': 48, 'Casual': 43, 'Turn-Based': 42, 'Great Soundtrack': 34, 'Atmospheric': 34, 'Magic': 30, 'Funny': 27, 'Violent': 23}"
